wavelength,transition,gf,E2_cm-1,E2_J
4489.183,F,0.0012,45079.9019,8.9548783e-19
4508.288,F,0.00416,45206.4704,8.980020399999999e-19
4515.339,F,0.00389,45079.9019,8.9548783e-19
4520.224,F,0.0025,44753.8179,8.890103499999999e-19
4522.634,F,0.0096,45019.1916,8.9428185e-19
4534.168,F,0.000332,45079.9019,8.9548783e-19
4541.524,F,0.00088,45044.1916,8.9477846e-19
4549.474,F,0.011,44784.7859,8.8962551e-19
4555.893,F,0.0052,44753.8179,8.890103499999999e-19
4576.34,F,0.00151,44784.7859,8.8962551e-19
4582.835,F,0.00078,44753.8179,8.890103499999999e-19
4583.837,F,0.0144,44396.9051,8.819204699999999e-19
